source: https://github.com/markomanninen/strongs/blob/master/strongs/nt-strongs.csv
G1	--Alpha
G294	clothe
G295	Amphipolis
G296	where two ways meet
G297	both
G298	blameless
G299	without blame (blemish
G300	Amon
G301	Amos
G302	(what-
G303	and
G304	stairs
G305	arise
G306	defer
G307	draw
G308	look
G309	recovery of sight
G310	cry (aloud
G311	delay
G312	declare
G313	beget
G314	read
G315	compel
G316	near
G317	by constraint
G318	distress
G319	be made known
G320	reading
G321	bring (again
G322	appoint
G323	shewing
G324	receive
G325	deliver
G326	live again
G327	seek
G328	gird up
G329	stir up
G330	flourish again
G331	accused
G332	curse
G333	behold
G334	gift
G335	importunity
G336	death
G337	put to death
G338	blameless
G339	sit up
G340	renew
G341	renew
G342	renewing
G343	open
G344	turn
G345	guest
G346	briefly comprehend
G347	lay
G348	hinder
G349	cry out
G350	ask
G351	examination
G352	lift up
G353	receive up
G354	taking up
G355	consume
G356	proportion
G357	consider
G358	X lose saltness
G359	departure
G360	depart
G361	that is without sin
G362	wait for
G363	call to mind
G364	remembrance
G365	renew
G366	recover self
G367	Ananias
G368	cannot be spoken against
G369	without gainsaying
G370	unworthy
G371	unworthily
G372	rest
G373	take ease
G374	persuade
G375	send
G376	maimed
G377	lean
G378	fill up
G379	without an excuse
G380	open
G381	kindle
G382	innumerable
G383	move
G384	subvert
G385	draw up
G386	raised to life again
G387	trouble
G388	crucify afresh
G389	sigh deeply
G390	abide
G391	conversation
G392	set in order
G393	(a-
G394	communicate
G395	dayspring
G396	overthrow
G397	bring up
G398	appear
G399	bear
G400	speak out
G401	excess
G402	depart
G403	revival
G404	refresh
G405	menstealer
G406	Andrew
G407	quit like men
G408	Adronicus
G409	manslayer
G410	blameless
G411	unspeakable
G412	unspeakable
G413	that faileth not
G414	more tolerable
G415	unmerciful
G416	drive with the wind
G417	wind
G418	impossible
G419	unsearchable
G420	patient
G421	past finding out; unsearchable
G422	--that needeth not to be ashamed
G423	blameless
G424	go up
G425	eased
G426	examined
G427	without
G428	not commodious
G429	find
G430	bear with
G431	sister's son
G432	anise
G433	convenient
G434	fierce
G435	fellow
G436	resist
G437	give thanks
G438	flower
G439	fire of coals
G440	coal of fire
G441	men-pleaser
G442	human
G443	murderer
G444	certain
G445	be the deputy
G446	deputy
G447	forbear
G448	without mercy
G449	unwashen
G450	arise
G451	Anna
G452	Annas
G453	fool
G454	folly
G455	open
G456	build again
G457	X open
G458	iniquity
G459	without law
G460	without law
G461	lift  up
G462	unholy
G463	forbearance
G464	strive against
G465	in exchange
G466	fill up
G467	recompense
G468	recompense
G469	reward
G470	answer again
G471	gainsay
G472	hold fast
G473	for
G474	have
G475	that oppose themselves
G476	adversary
G477	opposition
G478	resist
G479	bid again
G480	adversary
G481	over against
G482	help
G483	answer again
G484	help
G485	contradiction
G486	revile again
G487	ransom
G488	measure again
G489	recompense
G490	Antioch
G491	of Antioch
G492	pass by on the other side
G493	Antipas
G494	Antipatris
G495	over against
G496	resist
G497	war against
G498	oppose themselves
G499	figure
G500	antichrist
G501	draw
G502	thing to draw with
G503	bear up into
G504	dry
G505	without dissimulation
G506	disobedient
G507	above
G508	upper room
G509	from above
G510	upper
G511	above
G512	unprofitable
G513	axe
G514	due reward
G515	desire
G516	as becometh
G517	invisible
G518	bring word
G519	hang himself
G520	bring
G521	unlearned
G522	take
G523	ask again
G524	be past feeling
G525	deliver
G526	alienate
G527	tender
G528	meet
G529	meet
G530	once
G531	unchangeable
G532	unprepared
G533	deny
G534	from henceforth
G535	finishing
G536	first-fruits
G537	all
G538	deceive
G539	deceit(-ful
G540	without father
G541	brightness
G542	see
G543	disobedience
G544	not believe
G545	disobedient
G546	threaten
G547	X straitly
G548	be absent
G549	go
G550	renounce
G551	not to be tempted
G552	unskilful
G553	look  for
G554	put off
G555	putting off
G556	drive
G557	nought
G558	freeman
G559	Apelles
G560	hope for again
G561	before
G562	endless
G563	without distraction
G564	uncircumcised
G565	come
G566	it is enough
G567	abstain
G568	be
G569	believe not
G570	unbelief
G571	that believeth not
G572	bountifulness
G573	single
G574	--liberally
G575	after
G576	become
G577	cast away
G578	have respect
G579	be refused
G580	casting away
G581	being dead
G582	taxing
G583	tax
G584	prove
G585	demonstration
G586	(give
G587	acceptable
G588	accept
G589	go  into a far country
G590	taking a far journey
G591	deliver
G592	separate
G593	disallow
G594	acceptation
G595	putting away
G596	barn
G597	lay up in store
G598	press
G599	be dead
G600	restore
G601	reveal
G602	appearing
G603	earnest expectation
G604	reconcile
G605	restitution
G606	be appointed
G607	behead
G608	shut up
G609	cut off
G610	sentence
G611	answer
G612	answer
G613	hide
G614	hid
G615	put to death
G616	beget
G617	roll away
G618	receive
G619	enjoy
G620	leave
G621	lick
G622	destroy
G623	Apollyon
G624	Apollonia
G625	Apollos
G626	answer
G627	answer
G628	wash
G629	deliverance
G630	depart
G631	wipe off
G632	give
G633	wash
G634	fall
G635	err
G636	sail away
G637	wash
G638	choke
G639	doubt
G640	perplexity
G641	cast
G642	take
G643	take up… carriages
G644	shadow
G645	draw
G646	falling away
G647	divorcement
G648	uncover
G649	put in
G650	defraud
G651	apostleship
G652	apostle
G653	provoke to speak
G654	bring again
G655	abhor
G656	out of the synagogue
G657	bid farewell
G658	finish
G659	cast off
G660	shake off
G661	repay
G662	be very bold
G663	severity
G664	sharply
G665	turn away
G666	absence
G667	bring
G668	escape
G669	say
G670	unlade
G671	using
G672	depart
G673	depart
G674	hearts failing
G675	Appii
G676	which no man can approach
G677	none (void of
G678	without respect of persons
G679	from falling
G680	touch
G681	kindle
G682	Apphia
G683	cast away
G684	damnable
G685	curse
G686	haply
G687	therefore
G688	Arabia
G689	Aram
G690	Arabian
G691	linger
G692	barren
G693	silver
G694	money
G695	silversmith
G696	silver
G697	Areopagus
G698	Areopagite
G699	pleasing
G700	please
G701	please
G702	Aretas
G703	praise
G704	lamb
G705	number
G706	number
G707	Arimathæa
G708	Aristarchus
G709	dine
G710	left
G711	Aristobulus
G712	dinner
G713	enough
G714	be content
G715	bear
G716	chariot
G717	Armageddon
G718	espouse
G719	joint
G720	deny
G721	lamb
G722	plough
G723	plough
G724	extortion
G725	robbery
G726	catch (away
G727	extortion
G728	earnest
G729	without seam
G730	male
G731	unspeakable
G732	sick (folk
G733	abuser of  self with mankind
G734	Artemas
G735	Diana
G736	mainsail
G737	this day
G738	new born
G739	perfect
G740	bread
G741	season
G742	Arphaxad
G743	archangel
G744	old
G745	Archelaus
G746	beginning
G747	author
G748	of the high-priest
G749	chief  priest
G750	chief shepherd
G751	Archippus
G752	ruler of the synagogue
G753	masterbuilder
G754	chief among the publicans
G755	governor  of the feast
G756	begin
G757	reign  over
G758	chief
G759	spice
G760	Asa
G761	which cannot be moved
G762	not to be quenched
G763	ungodly
G764	commit (live
G765	ungodly
G766	filthy
G767	mean
G768	Aser
G769	disease
G770	be diseased
G771	infirmity
G772	more feeble
G773	Asia
G774	of Asia
G775	chief of Asia
G776	abstinence
G777	fasting
G778	exercise
G779	bottle
G780	gladly
G781	fool
G782	embrace
G783	greeting
G784	without spot
G785	asp
G786	implacable
G787	farthing
G788	close
G789	Assos
G790	have no certain dwelling-place
G791	fair
G792	star
G793	unstable
G794	without natural affection
G795	err
G796	lightning
G797	lighten
G798	star
G799	Asyncritos
G800	agree not
G801	foolish
G802	covenant-breaker
G803	certainty
G804	certain
G805	make fast
G806	assuredly
G807	behave self uncomely
G808	shame
G809	uncomely
G810	excess
G811	riotous
G812	behave self disorderly
G813	unruly
G814	disorderly
G815	childless
G816	behold earnestly
G817	in the absence of
G818	despise
G819	dishonour
G820	despised
G821	handle shamefully
G822	vapour
G823	moment
G824	amiss
G825	Attalia
G826	shine
G827	break of day
G828	Augustus
G829	self-willed
G830	of own accord
G831	usurp authority over
G832	pipe
G833	court
G834	minstrel
G835	abide
G836	pipe
G837	grow
G838	increase
G839	morrow
G840	austere
G841	contentment
G842	content
G843	condemned of self
G844	of own accord
G845	eye-witness
G846	her
G847	here
G848	her
G849	with … own hands
G850	dark
G851	cut  off
G852	that is not manifest
G853	corrupt
G854	vanish away
G855	vanished out of sight
G856	draught
G857	neglecting
G858	singleness
G859	deliverance
G860	joint
G861	immortality
G862	not (in-
G863	cry
G864	come abroad
G865	despiser of those that are good
G866	without covetousness
G867	departing
G868	depart
G869	suddenly
G870	without fear
G871	make like
G872	look
G873	divide
G874	occasion
G875	foam
G876	foaming
G877	folly
G878	fool
G879	fall asleep
G880	dumb
G881	Achaz
G882	Achaia
G883	Achaicus
G884	unthankful
G885	Achim
G886	made without  hands
G887	mist
G888	unprofitable
G889	become unprofitable
G890	unprofitable
G891	as far as
G892	chaff
G893	that cannot lie
G894	wormwood
G895	without life
G896	Baal
G897	Babylon
G898	degree
G899	deep(-ness
G900	deep
G901	deep
G902	branch
G903	Balaam
G904	Balac
G905	bag
G906	arise
G907	Baptist
G908	baptism
G909	baptism
G910	Baptist
G911	dip
G912	Barabbas
G913	Barak
G914	Barachias
G915	barbarian
G916	burden
G917	dull
G918	Bartholomeus
G919	Barjesus
G920	Bar-jona
G921	Barnabas
G922	burden
G923	Barsabas
G924	Bartimæus
G925	overcharge
G926	grievous
G927	very precious
G928	pain
G929	torment
G930	tormentor
G931	torment
G932	kingdom
G933	king's court
G934	royal
G935	king
G936	king
G937	king's
G938	queen
G939	foot
G940	bewitch
G941	bear
G942	bramble
G943	measure
G944	frog
G945	use vain repetitions
G946	abomination
G947	abominable
G948	abhor
G949	firm
G950	confirm
G951	confirmation
G952	profane
G953	profane
G954	Beelzebub
G955	Belial
G956	dart
G957	very well
G958	Benjamin
G959	Bernice
G960	Berea
G961	of Berea
G962	Bethabara
G963	Bethany
G964	Bethesda
G965	Bethlehem
G966	Bethsaida
G967	Bethphage
G968	judgment-seat
G969	beryl
G970	violence
G971	press
G972	mighty
G973	violent
G974	little book
G975	bill
G976	book
G977	eat
G978	Bithynia
G979	good
G980	live
G981	manner of life
G982	of (pertaining to
G983	hurtful
G984	hurt
G985	bring forth
G986	Blastus
G987	blaspheme(-er
G988	blasphemy
G989	blasphemer
G990	seeing
G991	behold
G992	must be put
G993	Boanerges
G994	cry
G995	cry
G996	help
G997	help
G998	helper
G999	ditch
G1000	cast
G1001	sound
G1002	dart
G1003	Booz
G1004	mire
G1005	north
G1006	feed
G1007	Bosor
G1008	herb
G1009	cluster
G1010	counsellor
G1011	consult
G1012	+ advise
G1013	purpose
G1014	be disposed
G1015	hill
G1016	ox
G1017	prize
G1018	rule
G1019	be slack
G1020	sail slowly
G1021	slow
G1022	slackness
G1023	arm
G1024	few words
G1025	babe
G1026	rain
G1027	thunder
G1028	rain
G1029	snare
G1030	gnashing
G1031	gnash
G1032	send forth
G1033	meat
G1034	meat
G1035	eating
G1036	begin to sink
G1037	deep
G1038	tanner
G1039	fine linen
G1040	fine linen
G1041	altar
G1042	Gabbatha
G1043	Gabriel
G1044	canker
G1045	Gad
G1046	Gadarene
G1047	treasure
G1048	Gaza
G1049	treasury
G1050	Gaius
G1051	milk
G1052	Galatian
G1053	Galatia
G1054	of Galatia
G1055	calm
G1056	Galilee
G1057	Galilean
G1058	Gallio
G1059	Gamaliel
G1060	marry
G1061	give in marriage
G1062	marriage
G1063	and
G1064	belly
G1065	and besides
G1066	Gedeon
G1067	hell
G1068	Gethsemane
G1069	neighbour
G1070	laugh
G1071	laughter
G1072	fill  full
G1073	be full
G1074	age
G1075	count by descent
G1076	genealogy
G1077	birthday
G1078	generation
G1079	birth
G1080	bear
G1081	fruit
G1082	Gennesaret
G1083	birth
G1084	they that are born
G1085	born
G1086	Gergesene
G1087	senate
G1088	old
G1089	eat
G1090	dress
G1091	husbandry
G1092	husbandman
G1093	country
G1094	old age
G1095	be  old
G1096	arise
G1097	allow
G1098	new wine
G1099	sweet
G1100	tongue
G1101	bag
G1102	fuller
G1103	own
G1104	naturally
G1105	blackness
G1106	advice
G1107	certify
G1108	knowledge
G1109	expert
G1110	acquaintance
G1111	murmur
G1112	grudging
G1113	murmurer
G1114	seducer
G1115	Golgotha
G1116	Gomorrha
G1117	burden
G1118	parent
G1119	knee
G1120	bow the knee
G1121	bill
G1122	scribe
G1123	written
G1124	scripture
G1125	describe
G1126	old wives'
G1127	be vigilant
G1128	exercise
G1129	exercise
G1130	be naked
G1131	naked
G1132	nakedness
G1133	silly woman
G1134	wife
G1135	wife
G1136	Gog
G1137	corner
G1138	David
G1139	have a (be vexed with
G1140	devil
G1141	devilish
G1142	devil
G1143	bite
G1144	tear
G1145	weep
G1146	ring
G1147	finger
G1148	Dalmanutha
G1149	Dalmatia
G1150	tame
G1151	heifer
G1152	Damaris
G1153	Damascene
G1154	Damascus
G1155	borrow
G1156	debt
G1157	creditor
G1158	Daniel
G1159	be at charges
G1160	cost
G1161	also
G1162	prayer
G1163	behoved
G1164	example
G1165	make a shew
G1166	shew
G1167	fear
G1168	be afraid
G1169	fearful
G1170	such a man
G1171	grievously
G1172	sup
G1173	feast
G1174	too superstitious
G1175	superstition
G1176	een
G1177	twelve
G1178	fifteen
G1179	Decapolis
G1180	fourteen
G1181	tenth
G1182	tenth
G1183	pay  tithes
G1184	accepted
G1185	allure
G1186	tree
G1187	spearman
G1188	right (hand
G1189	beseech
G1190	of Derbe
G1191	Derbe
G1192	skin
G1193	leathern
G1194	beat
G1195	bind
G1196	bind
G1197	bundle
G1198	in bonds
G1199	band
G1200	jailor
G1201	prison
G1202	prisoner
G1203	Lord
G1204	come
G1205	come
G1206	next day
G1207	second … after the first
G1208	afterward
G1209	accept
G1210	bind
G1211	also
G1212	+ bewray
G1213	declare
G1214	Demas
G1215	make an oration
G1216	Demetrius
G1217	maker
G1218	people
G1219	common
G1220	pence
G1221	soever
G1222	verily
G1223	after
G1224	come over
G1225	accuse
G1226	affirm constantly
G1227	see clearly
G1228	false accuser
G1229	declare
G1230	X after
G1231	enquire
G1232	make known
G1233	hearing
G1234	murmur
G1235	be awake
G1236	lead life
G1237	come after
G1238	crown
G1239	distribute
G1240	room
G1241	gird
G1242	covenant
G1243	difference
G1244	divide
G1245	thoroughly purge
G1246	convince
G1247	minister
G1248	minister(-ing
G1249	deacon
G1250	two hundred
G1251	hear
G1252	contend
G1253	discern
G1254	forbid
G1255	commune
G1256	dispute
G1257	cease
G1258	language
G1259	reconcile
G1260	cast in mind
G1261	dispute
G1262	scatter
G1263	charge
G1264	strive
G1265	continue
G1266	cloven
G1267	division
G1268	spread
G1269	beckon
G1270	thought
G1271	imagination
G1272	open
G1273	continue all night
G1274	finish
G1275	alway
G1276	go over
G1277	sail over
G1278	be grieved
G1279	go through
G1280	doubt
G1281	gain by trading
G1282	cut
G1283	spoil
G1284	break
G1285	tell unto
G1286	do violence to
G1287	disperse
G1288	pluck asunder
G1289	scatter abroad
G1290	scattered
G1291	charge
G1292	space
G1293	difference
G1294	perverse
G1295	bring safe
G1296	instrumentality
G1297	commandment
G1298	trouble
G1299	appoint
G1300	continue
G1301	keep
G1302	wherefore
G1303	appoint
G1304	abide
G1305	food
G1306	dawn
G1307	transparent
G1308	be better
G1309	escape
G1310	blaze abroad
G1311	corrupt
G1312	corruption
G1313	differing
G1314	keep
G1315	kill
G1316	depart
G1317	apt to teach
G1318	taught
G1319	doctrine
G1320	doctor
G1321	teach
G1322	doctrine
G1323	tribute
G1324	Didymus
G1325	adventure
G1326	arise
G1327	highway
G1328	interpreter
G1329	expound
G1330	come
G1331	make enquiry for
G1332	two years old
G1333	two years
G1334	declare
G1335	declaration
G1336	+ continually
G1337	where two seas meet
G1338	pierce
G1339	go further
G1340	confidently  affirm
G1341	righteous judgment
G1342	just
G1343	righteousness
G1344	free
G1345	judgment
G1346	justly
G1347	justification
G1348	judge
G1349	judgment
G1350	net
G1351	double-tongued
G1352	for which cause
G1353	go throughout
G1354	Dionysius
G1355	wherefore
G1356	which fell down from Jupiter
G1357	reformation
G1358	break through
G1359	Castor and Pollux
G1360	because
G1361	Diotrephes
G1362	double
G1363	double
G1364	again
G1365	doubt
G1366	with two edges
G1367	two thousand
G1368	strain at
G1369	set at variance
G1370	division
G1371	cut asunder
G1372	(be
G1373	thirst
G1374	double minded
G1375	persecution
G1376	persecutor
G1377	ensue
G1378	decree
G1379	be subject to ordinances
G1380	be accounted
G1381	allow
G1382	experience
G1383	trial
G1384	approved
G1385	beam
G1386	deceitful
G1387	use deceit
G1388	craft
G1389	handle deceitfully
G1390	gift
G1391	dignity
G1392	glorify
G1393	Dorcas
G1394	gift
G1395	giver
G1396	bring into subjection
G1397	bondage
G1398	be in bondage
G1399	handmaid
G1400	servant
G1401	bond
G1402	bring into  bondage
G1403	feast
G1404	dragon
G1405	take
G1406	piece
G1407	sickle
G1408	course
G1409	Drusilla
G1410	be able
G1411	ability
G1412	strengthen
G1413	of great authority
G1414	be mighty
G1415	able
G1416	set
G1417	both
G1418	+ hard
G1419	grievous to be borne
G1420	bloody flux
G1421	hard to be uttered
G1422	hard
G1423	hardly
G1424	west
G1425	hard to be understood
G1426	evil report
G1427	twelve
G1428	twelfth
G1429	twelve tribes
G1430	housetop
G1431	gift
G1432	without a cause
G1433	give
G1434	gift
G1435	gift
G1436	let alone
G1437	before
G1438	alone
G1439	commit
G1440	seventy
G1441	seventy times
G1442	seventh
G1443	Eber
G1444	Hebrew
G1445	Hebrew
G1446	Hebrew
G1447	in  Hebrew
G1448	approach
G1449	write
G1450	surety
G1451	from
G1452	nearer
G1453	awake
G1454	resurrection
G1455	spy
G1456	dedication
G1457	consecrate
G1458	accuse
G1459	forsake
G1460	dwell among
G1461	graff in
G1462	crime laid against
G1463	be clothed with
G1464	X hinder
G1465	hinder
G1466	temperance
G1467	can contain
G1468	temperate
G1469	make of the number
G1470	hid in
G1471	great with child
G1472	anoint
G1473	I
G1474	lay even with the ground
G1475	ground
G1476	settled
G1477	ground
G1478	Ezekias
G1479	will worship
G1480	custom
G1481	ethnarch
G1482	heathen
G1483	after the manner of Gentiles
G1484	Gentile
G1485	custom
G1486	be custom (manner
G1487	forasmuch as
G1488	art
G1489	if (so be that
G1490	else
G1491	appearance
G1492	be aware
G1493	idol's temple
G1494	(meat
G1495	idolatry
G1496	idolater
G1497	idol
G1498	mean
G1499	if
G1500	without a cause
G1501	twenty
G1502	give place
G1503	be like
G1504	image
G1505	sincerity
G1506	pure
G1507	roll together
G1508	but
G1509	except
G1510	am
G1511	am
G1512	if so be
G1513	if by any means
G1514	be at (have
G1515	one
G1516	peaceable
G1517	make peace
G1518	peacemaker
G1519	ly
G1520	a(-n
G1521	bring in
G1522	hear
G1523	receive
G1524	enter  into
G1525	X arise
G1526	agree
G1527	one by one
G1528	call in
G1529	coming
G1530	run  in
G1531	come  in
G1532	run in
G1533	bring
G1534	after that
G1535	if
G1536	he that
G1537	after
G1538	any
G1539	always
G1540	hundred
G1541	hundred years old
G1542	hundredfold
G1543	centurion
G1544	bring forth
G1545	end
G1546	+ lighten the ship
G1547	give in marriage
G1548	give in marriage
G1549	nephew
G1550	spend
G1551	expect
G1552	manifest
G1553	be absent
G1554	let forth
G1555	declare
G1556	a venge
G1557	(a-
G1558	a venger
G1559	persecute
G1560	delivered
G1561	looking for
G1562	strip
G1563	there
G1564	from that place
G1565	he
G1566	there
G1567	en- quire
G1568	affright
G1569	greatly wondering
G1570	cast out
G1571	purge
G1572	burn
G1573	faint
G1574	pierce
G1575	break off
G1576	exclude
G1577	assembly
G1578	avoid
G1579	swim out
G1580	carry out
G1581	cut down (off
G1582	be very attentive
G1583	tell
G1584	shine forth
G1585	forget
G1586	make choice
G1587	fail
G1588	chosen
G1589	chosen
G1590	faint
G1591	wipe
G1592	deride
G1593	convey self away
G1594	awake
G1595	willingly
G1596	wilfully
G1597	of a long time
G1598	tempt
G1599	send away
G1600	stretch forth
G1601	be cast
G1602	sail (away
G1603	fulfill
G1604	accomplishment
G1605	amaze
G1606	give up the ghost
G1607	come (forth
G1608	give self over to fornication
G1609	reject
G1610	pluck up by the root
G1611	+ be amazed
G1612	subvert
G1613	exceedingly trouble
G1614	cast
G1615	finish
G1616	X instantly
G1617	more earnestly
G1618	without ceasing
G1619	fervently
G1620	cast out
G1621	shake
G1622	but
G1623	sixth
G1624	avoid
G1625	bring up
G1626	born out of due time
G1627	bear
G1628	escape
G1629	terrify
G1630	sore afraid
G1631	put forth
G1632	gush  out
G1633	depart out
G1634	give  up the ghost
G1635	willingly
G1636	olive (berry
G1637	oil
G1638	Olivet
G1639	Elamite
G1640	less
G1641	have lack
G1642	decrease
G1643	carry
G1644	lightness
G1645	light
G1646	least
G1647	less than the least
G1648	Eleazar
G1649	rebuke
G1650	evidence
G1651	convict
G1652	miserable
G1653	have compassion
G1654	alms
G1655	merciful
G1656	mercy
G1657	liberty
G1658	free (man
G1659	deliver
G1660	coming
G1661	of ivory
G1662	Eliakim
G1663	Eliezer
G1664	Eliud
G1665	Elisabeth
G1666	Elissæus
G1667	fold up
G1668	sore
G1669	full of sores
G1670	draw
G1671	Greece
G1672	Gentile
G1673	Greek
G1674	Greek
G1675	Grecian
G1676	Greek
G1677	impute
G1678	Elmodam
G1679	(have
G1680	faith
G1681	Elymas
G1682	Eloi
G1683	me
G1684	come  into
G1685	cast into
G1686	dip
G1687	intrude into
G1688	put in
G1689	behold
G1690	straitly charge
G1691	I
G1692	spue
G1693	be mad against
G1694	Emmanuel
G1695	Emmaus
G1696	continue
G1697	Emmor
G1698	I
G1699	of me
G1700	me
G1701	mocking
G1702	mock
G1703	mocker
G1704	walk in
G1705	fill
G1706	fall among
G1707	entangle (in
G1708	plaiting
G1709	breathe
G1710	buy and sell
G1711	merchandise
G1712	merchandise
G1713	merchant
G1714	burn up
G1715	against
G1716	spit
G1717	manifest
G1718	appear
G1719	affrighted
G1720	breathe on
G1721	engrafted
G1722	about
G1723	take up in arms
G1724	thing in the sea
G1725	before
G1726	before
G1727	against
G1728	rule )
G1729	lacking
G1730	manifest token
G1731	do
G1732	declare
G1733	eleven
G1734	eleventh
G1735	can  be
G1736	be at home
G1737	clothe in
G1738	just
G1739	building
G1740	glorify
G1741	glorious
G1742	clothing
G1743	enable
G1744	creep
G1745	putting on
G1746	array
G1747	lay wait
G1748	lay wait for
G1749	lying in wait
G1750	wrap in
G1751	such things as … have
G1752	because
G1753	operation
G1754	do
G1755	operation
G1756	effectual
G1757	bless
G1758	entangle with
G1759	here
G1760	think
G1761	device
G1762	be
G1763	year
G1764	come
G1765	strengthen
G1766	ninth
G1767	nine
G1768	ninety and nine
G1769	speechless
G1770	make signs
G1771	intent
G1772	lawful
G1773	before day
G1774	dwell in
G1775	unity
G1776	trouble
G1777	in danger of
G1778	commandment
G1779	bury
G1780	burying
G1781	charge
G1782	hence
G1783	intercession
G1784	dear
G1785	commandment
G1786	of that place
G1787	within
G1788	regard
G1789	nourish up in
G1790	X quake
G1791	shame
G1792	sporting selves
G1793	deal with
G1794	wrap in
G1795	engrave
G1796	do despite unto
G1797	dream
G1798	dream
G1799	before
G1800	Enos
G1801	hearken
G1802	Enoch
G1803	six
G1804	shew forth
G1805	redeem
G1806	bring forth
G1807	deliver
G1808	put  away
G1809	desire
G1810	suddenly
G1811	follow
G1812	six hundred
G1813	blot out
G1814	leap up
G1815	resurrection
G1816	spring up
G1817	raise  up
G1818	beguile
G1819	suddenly
G1820	despair
G1821	send (away
G1822	accomplish
G1823	glistening
G1824	by and by
G1825	raise up
G1826	depart
G1827	convince
G1828	draw away
