！G70035	35	33	ἄγε	pos: V<br />bdag-headword: ἄγε<br />danker-entry: ἄγε
G72597	2869	καταδίκη	pos: N<br />full-citation-form: καταδίκη, ης, ἡ<br />bdag-headword: καταδίκη<br />danker-entry: καταδίκη, ης, ἡ<br />mounce-headword: καταδίκη<br />gk: 2869<br />mounce-morphcat: n-1b
G72701	2986	κατευλογέω	pos: V<br />bdag-headword: κατευλογέω<br />danker-entry: κατευλογέω<br />mounce-headword: κατευλογέω<br />gk: 2986<br />mounce-morphcat: cv-1d(2a)
G72707	2992	κατήγωρ	pos: N<br />full-citation-form: κατήγωρ, ορος, ὁ<br />bdag-headword: κατήγωρ<br />danker-entry: κατήγωρ, ορος, ὁ<br />mounce-headword: κατήγωρ<br />gk: 2992<br />mounce-morphcat: n-3f(2b)
G72716	3001	κατοικίζω	pos: V<br />bdag-headword: κατοικίζω<br />danker-entry: κατοικίζω<br />mounce-headword: κατοικίζω<br />gk: 3001<br />mounce-morphcat: cv-2a(1)
G72720	3006	κατωτέρω	pos: D<br />bdag-headword: κατωτέρω<br />danker-entry: κατωτέρω<br />mounce-headword: κατωτέρω<br />gk: 3006<br />mounce-morphcat: adverb
G72721	3007	Καῦδα	pos: N<br />full-citation-form: Καῦδα, τό<br />bdag-headword: Καῦδα<br />danker-entry: Καῦδα<br />mounce-headword: Καῦδα<br />gk: 3007<br />mounce-morphcat: n-1c
G72726	3013	καυστηριάζω	pos: V<br />bdag-headword: καυστηριάζω<br />danker-entry: καυστηριάζω<br />mounce-headword: καυστηριάζω<br />gk: 3013<br />mounce-morphcat: v-2a(1)
G72761	3052	κεφαλιόω	pos: V<br />bdag-headword: κεφαλιόω<br />danker-entry: κεφαλιόω<br />mounce-headword: κεφαλιόω<br />gk: 3052<br />mounce-morphcat: v-1d(3)
G72763	3055	κημόω	pos: V<br />bdag-headword: κημόω<br />danker-entry: κημόω<br />mounce-headword: κημόω<br />gk: 3055<br />mounce-morphcat: v-1d(3)
G72782	3079	κίχρημι	pos: V<br />bdag-headword: κίχρημι<br />danker-entry: κίχρημι<br />mounce-headword: κίχρημι<br />gk: 3079<br />mounce-morphcat: v-6a
G72809	3108	κλινάριον	pos: N<br />full-citation-form: κλινάριον, ου, τό<br />bdag-headword: κλινάριον<br />danker-entry: κλινάριον, ου, τό<br />mounce-headword: κλινάριον<br />gk: 3108<br />mounce-morphcat: n-2c
G72859	3162	κόπριον	pos: N<br />full-citation-form: κόπριον, ου, τό<br />bdag-headword: κόπριον<br />danker-entry: κόπριον, ου, τό<br />mounce-headword: κόπριον<br />gk: 3162<br />mounce-morphcat: n-2c
G72864	3168	κορβανᾶς	pos: N<br />full-citation-form: κορβανᾶς, ᾶ, ὁ<br />bdag-headword: κορβανᾶς<br />danker-entry: κορβανᾶς, ᾶ, ὁ<br />mounce-headword: κορβανᾶς<br />gk: 3168<br />mounce-morphcat: n-1e
G72916	3224	κρυφαῖος	pos: A<br />full-citation-form: κρυφαῖος, α, ον<br />bdag-headword: κρυφαῖος<br />danker-entry: κρυφαῖος, α, ον<br />mounce-headword: κρυφαῖος<br />gk: 3224<br />mounce-morphcat: a-1a(1)
G72929	3238	κυκλεύω	pos: V<br />bdag-headword: κυκλεύω<br />danker-entry: κυκλεύω<br />mounce-headword: κυκλεύω<br />gk: 3238<br />mounce-morphcat: v-1a(6)
G72932	3241	κύκλῳ	pos: D/N<br />bdag-headword: κύκλῳ<br />danker-entry: κύκλῳ<br />mounce-headword: κύκλώ<br />gk: 3241
G72934	3243	κυλισμός	pos: N<br />full-citation-form: κυλισμός, οῦ, ὁ<br />bdag-headword: κυλισμός<br />danker-entry: κυλισμός, οῦ, ὁ<br />mounce-headword: κυλισμός<br />gk: 3243<br />mounce-morphcat: n-2a
G72966	3279	λακάω	pos: V<br />bdag-headword: λακάω<br />danker-entry: λακάω<br />mounce-headword: λακάω<br />gk: 3279<br />mounce-morphcat: v-1d(1a)
G73011	3331	λῆμψις	pos: N<br />full-citation-form: λῆμψις, εως, ἡ<br />bdag-headword: λῆμψις<br />danker-entry: λῆμψις, εως, ἡ<br />mounce-headword: λῆμψις<br />gk: 3331<br />mounce-morphcat: n-3e(5b)
G73024	3346	λιθόστρωτος	pos: A<br />full-citation-form: λιθόστρωτος, ον<br />bdag-headword: λιθόστρωτος<br />danker-entry: λιθόστρωτος, ον<br />mounce-headword: λιθόστρωτος<br />gk: 3346<br />mounce-morphcat: a-3a
