pron.dem.DPM	pronoun, demonstrative, dative, plural, masculine
pron.dem.DPN	pronoun, demonstrative, dative, plural, neuter
pron.dem.DSF	pronoun, demonstrative, dative, singular, feminine
pron.dem.DSM	pronoun, demonstrative, dative, singular, masculine
pron.dem.DSN	pronoun, demonstrative, dative, singular, neuter
pron.dem.GPF	pronoun, demonstrative, genitive, plural, feminine
pron.dem.GPM	pronoun, demonstrative, genitive, plural, masculine
pron.dem.GPN	pronoun, demonstrative, genitive, plural, neuter
pron.dem.GSF	pronoun, demonstrative, genitive, singular, feminine
pron.dem.GSM	pronoun, demonstrative, genitive, singular, masculine
pron.dem.GSN	pronoun, demonstrative, genitive, singular, neuter
pron.dem.NPF	pronoun, demonstrative, nominative, plural, feminine
pron.dem.NPM	pronoun, demonstrative, nominative, plural, masculine
pron.dem.NPN	pronoun, demonstrative, nominative, plural, neuter
pron.dem.NSF	pronoun, demonstrative, nominative, singular, feminine
pron.dem.NSM	pronoun, demonstrative, nominative, singular, masculine
pron.dem.NSN	pronoun, demonstrative, nominative, singular, neuter
pron.ind.APF	pronoun, indefinite, accusative, plural, feminine
pron.ind.APM	pronoun, indefinite, accusative, plural, masculine
pron.ind.APN	pronoun, indefinite, accusative, plural, neuter
pron.ind.ASF	pronoun, indefinite, accusative, singular, feminine
pron.ind.ASM	pronoun, indefinite, accusative, singular, masculine
pron.ind.ASN	pronoun, indefinite, accusative, singular, neuter
pron.ind.DPM	pronoun, indefinite, dative, plural, masculine
pron.ind.DSF	pronoun, indefinite, dative, singular, feminine
pron.ind.DSM	pronoun, indefinite, dative, singular, masculine
pron.ind.DSN	pronoun, indefinite, dative, singular, neuter
pron.ind.GPF	pronoun, indefinite, genitive, plural, feminine
pron.ind.GPM	pronoun, indefinite, genitive, plural, masculine
pron.ind.GPN	pronoun, indefinite, genitive, plural, neuter
pron.ind.GSM	pronoun, indefinite, genitive, singular, masculine
pron.ind.GSN	pronoun, indefinite, genitive, singular, neuter
pron.ind.NPF	pronoun, indefinite, nominative, plural, feminine
pron.ind.NPM	pronoun, indefinite, nominative, plural, masculine
pron.ind.NPN	pronoun, indefinite, nominative, plural, neuter
pron.ind.NSF	pronoun, indefinite, nominative, singular, feminine
pron.ind.NSM	pronoun, indefinite, nominative, singular, masculine
pron.ind.NSN	pronoun, indefinite, nominative, singular, neuter
pron.int.APF	pronoun, interrogative, accusative, plural, feminine
pron.int.APM	pronoun, interrogative, accusative, plural, masculine
pron.int.APN	pronoun, interrogative, accusative, plural, neuter
pron.int.ASF	pronoun, interrogative, accusative, singular, feminine
pron.int.ASM	pronoun, interrogative, accusative, singular, masculine
pron.int.ASN	pronoun, interrogative, accusative, singular, neuter
pron.int.DPM	pronoun, interrogative, dative, plural, masculine
pron.int.DPN	pronoun, interrogative, dative, plural, neuter
pron.int.DSF	pronoun, interrogative, dative, singular, feminine
pron.int.DSM	pronoun, interrogative, dative, singular, masculine
pron.int.DSN	pronoun, interrogative, dative, singular, neuter
pron.int.GPF	pronoun, interrogative, genitive, plural, feminine
pron.int.GPM	pronoun, interrogative, genitive, plural, masculine
pron.int.GPN	pronoun, interrogative, genitive, plural, neuter
pron.int.GSF	pronoun, interrogative, genitive, singular, feminine
pron.int.GSM	pronoun, interrogative, genitive, singular, masculine
pron.int.GSN	pronoun, interrogative, genitive, singular, neuter
pron.int.NPF	pronoun, interrogative, nominative, plural, feminine
pron.int.NPM	pronoun, interrogative, nominative, plural, masculine
pron.int.NPN	pronoun, interrogative, nominative, plural, neuter
pron.int.NSF	pronoun, interrogative, nominative, singular, feminine
pron.int.NSM	pronoun, interrogative, nominative, singular, masculine
pron.int.NSN	pronoun, interrogative, nominative, singular, neuter
pron.per.AP	pronoun, personal, accusative, plural
pron.per.APF	pronoun, personal, accusative, plural, feminine
pron.per.APM	pronoun, personal, accusative, plural, masculine
pron.per.APN	pronoun, personal, accusative, plural, neuter
pron.per.AS	pronoun, personal, accusative, singular
pron.per.ASF	pronoun, personal, accusative, singular, feminine
pron.per.ASM	pronoun, personal, accusative, singular, masculine
pron.per.ASN	pronoun, personal, accusative, singular, neuter
pron.per.DP	pronoun, personal, dative, plural
pron.per.DPF	pronoun, personal, dative, plural, feminine
pron.per.DPM	pronoun, personal, dative, plural, masculine
pron.per.DPN	pronoun, personal, dative, plural, neuter
pron.per.DS	pronoun, personal, dative, singular
pron.per.DSF	pronoun, personal, dative, singular, feminine
pron.per.DSM	pronoun, personal, dative, singular, masculine
pron.per.DSN	pronoun, personal, dative, singular, neuter
pron.per.GP	pronoun, personal, genitive, plural
pron.per.GPF	pronoun, personal, genitive, plural, feminine
pron.per.GPM	pronoun, personal, genitive, plural, masculine
pron.per.GPN	pronoun, personal, genitive, plural, neuter
pron.per.GS	pronoun, personal, genitive, singular
pron.per.GSF	pronoun, personal, genitive, singular, feminine
pron.per.GSM	pronoun, personal, genitive, singular, masculine
pron.per.GSN	pronoun, personal, genitive, singular, neuter
pron.per.NP	pronoun, personal, nominative, plural
pron.per.NPM	pronoun, personal, nominative, plural, masculine
pron.per.NPN	pronoun, personal, nominative, plural, neuter
pron.per.NS	pronoun, personal, nominative, singular
pron.per.NSF	pronoun, personal, nominative, singular, feminine
pron.per.NSM	pronoun, personal, nominative, singular, masculine
pron.per.NSN	pronoun, personal, nominative, singular, neuter
pron.rel.APF	pronoun, relative, accusative, plural, feminine
pron.rel.APM	pronoun, relative, accusative, plural, masculine
pron.rel.APN	pronoun, relative, accusative, plural, neuter
pron.rel.ASF	pronoun, relative, accusative, singular, feminine
pron.rel.ASM	pronoun, relative, accusative, singular, masculine
pron.rel.ASN	pronoun, relative, accusative, singular, neuter
pron.rel.DPF	pronoun, relative, dative, plural, feminine
pron.rel.DPM	pronoun, relative, dative, plural, masculine
pron.rel.DPN	pronoun, relative, dative, plural, neuter
pron.rel.DSF	pronoun, relative, dative, singular, feminine
pron.rel.DSM	pronoun, relative, dative, singular, masculine
pron.rel.DSN	pronoun, relative, dative, singular, neuter
pron.rel.GPF	pronoun, relative, genitive, plural, feminine
pron.rel.GPM	pronoun, relative, genitive, plural, masculine
pron.rel.GPN	pronoun, relative, genitive, plural, neuter
pron.rel.GSF	pronoun, relative, genitive, singular, feminine
pron.rel.GSM	pronoun, relative, genitive, singular, masculine
pron.rel.GSN	pronoun, relative, genitive, singular, neuter
pron.rel.NPF	pronoun, relative, nominative, plural, feminine
pron.rel.NPM	pronoun, relative, nominative, plural, masculine
pron.rel.NPN	pronoun, relative, nominative, plural, neuter
pron.rel.NSF	pronoun, relative, nominative, singular, feminine
pron.rel.NSM	pronoun, relative, nominative, singular, masculine
pron.rel.NSN	pronoun, relative, nominative, singular, neuter
ptcl	particle
verb.1AAIP	verb, first, aorist, active, indicative, plural
verb.1AAIS	verb, first, aorist, active, indicative, singular
verb.1AASP	verb, first, aorist, active, subjunctive, plural
verb.1AASS	verb, first, aorist, active, subjunctive, singular
verb.1AMIP	verb, first, aorist, middle, indicative, plural
verb.1AMIS	verb, first, aorist, middle, indicative, singular
verb.1AMOS	verb, first, aorist, middle, optative, singular
verb.1AMSP	verb, first, aorist, middle, subjunctive, plural
verb.1AMSS	verb, first, aorist, middle, subjunctive, singular
verb.1APIP	verb, first, aorist, passive, indicative, plural
verb.1APIS	verb, first, aorist, passive, indicative, singular
verb.1APSP	verb, first, aorist, passive, subjunctive, plural
verb.1APSS	verb, first, aorist, passive, subjunctive, singular
verb.1FAIP	verb, first, future, active, indicative, plural
verb.1FAIS	verb, first, future, active, indicative, singular
verb.1FMIP	verb, first, future, middle, indicative, plural
verb.1FMIS	verb, first, future, middle, indicative, singular
verb.1FPIP	verb, first, future, passive, indicative, plural
verb.1FPIS	verb, first, future, passive, indicative, singular
verb.1IAIP	verb, first, imperfect, active, indicative, plural
verb.1IAIS	verb, first, imperfect, active, indicative, singular
verb.1IMIP	verb, first, imperfect, middle, indicative, plural
verb.1IMIS	verb, first, imperfect, middle, indicative, singular
verb.1IPIP	verb, first, imperfect, passive, indicative, plural
verb.1IPIS	verb, first, imperfect, passive, indicative, singular
verb.1PAIP	verb, first, present, active, indicative, plural
verb.1PAIS	verb, first, present, active, indicative, singular
verb.1PASP	verb, first, present, active, subjunctive, plural
verb.1PASS	verb, first, present, active, subjunctive, singular
verb.1PMIP	verb, first, present, middle, indicative, plural
verb.1PMIS	verb, first, present, middle, indicative, singular
verb.1PMOS	verb, first, present, middle, optative, singular
verb.1PMSP	verb, first, present, middle, subjunctive, plural
verb.1PMSS	verb, first, present, middle, subjunctive, singular
verb.1PPIP	verb, first, present, passive, indicative, plural
verb.1PPIS	verb, first, present, passive, indicative, singular
verb.1PPSP	verb, first, present, passive, subjunctive, plural
verb.1PPSS	verb, first, present, passive, subjunctive, singular
verb.1XAIP	verb, first, perfect, active, indicative, plural
verb.1XAIS	verb, first, perfect, active, indicative, singular
verb.1XASP	verb, first, perfect, active, subjunctive, plural
verb.1XASS	verb, first, perfect, active, subjunctive, singular
verb.1XMIP	verb, first, perfect, middle, indicative, plural
verb.1XMIS	verb, first, perfect, middle, indicative, singular
verb.1XPIP	verb, first, perfect, passive, indicative, plural
verb.1XPIS	verb, first, perfect, passive, indicative, singular
verb.1YAIS	verb, first, pluperfect, active, indicative, singular
verb.2AADP	verb, second, aorist, active, imperative, plural
verb.2AADS	verb, second, aorist, active, imperative, singular
verb.2AAIP	verb, second, aorist, active, indicative, plural
verb.2AAIS	verb, second, aorist, active, indicative, singular
verb.2AASP	verb, second, aorist, active, subjunctive, plural
verb.2AASS	verb, second, aorist, active, subjunctive, singular
verb.2AMDP	verb, second, aorist, middle, imperative, plural
verb.2AMDS	verb, second, aorist, middle, imperative, singular
verb.2AMIP	verb, second, aorist, middle, indicative, plural
verb.2AMIS	verb, second, aorist, middle, indicative, singular
verb.2AMSP	verb, second, aorist, middle, subjunctive, plural
verb.2AMSS	verb, second, aorist, middle, subjunctive, singular
verb.2APDP	verb, second, aorist, passive, imperative, plural
verb.2APDS	verb, second, aorist, passive, imperative, singular
verb.2APIP	verb, second, aorist, passive, indicative, plural
verb.2APIS	verb, second, aorist, passive, indicative, singular
verb.2APSP	verb, second, aorist, passive, subjunctive, plural
verb.2APSS	verb, second, aorist, passive, subjunctive, singular
verb.2FAIP	verb, second, future, active, indicative, plural
verb.2FAIS	verb, second, future, active, indicative, singular
verb.2FMIP	verb, second, future, middle, indicative, plural
verb.2FMIS	verb, second, future, middle, indicative, singular
verb.2FPIP	verb, second, future, passive, indicative, plural
verb.2FPIS	verb, second, future, passive, indicative, singular
verb.2IAIP	verb, second, imperfect, active, indicative, plural
verb.2IAIS	verb, second, imperfect, active, indicative, singular
verb.2IMIP	verb, second, imperfect, middle, indicative, plural
verb.2IMIS	verb, second, imperfect, middle, indicative, singular
verb.2IPIP	verb, second, imperfect, passive, indicative, plural
verb.2PADP	verb, second, present, active, imperative, plural
verb.2PADS	verb, second, present, active, imperative, singular
verb.2PAIP	verb, second, present, active, indicative, plural
verb.2PAIS	verb, second, present, active, indicative, singular
verb.2PAOP	verb, second, present, active, optative, plural
verb.2PASP	verb, second, present, active, subjunctive, plural
verb.2PASS	verb, second, present, active, subjunctive, singular
verb.2PMDP	verb, second, present, middle, imperative, plural
verb.2PMDS	verb, second, present, middle, imperative, singular
verb.2PMIP	verb, second, present, middle, indicative, plural
verb.2PMIS	verb, second, present, middle, indicative, singular
verb.2PMSP	verb, second, present, middle, subjunctive, plural
verb.2PMSS	verb, second, present, middle, subjunctive, singular
verb.2PPDP	verb, second, present, passive, imperative, plural
verb.2PPDS	verb, second, present, passive, imperative, singular
verb.2PPIP	verb, second, present, passive, indicative, plural
verb.2PPIS	verb, second, present, passive, indicative, singular
verb.2PPSP	verb, second, present, passive, subjunctive, plural
verb.2XADP	verb, second, perfect, active, imperative, plural
verb.2XAIP	verb, second, perfect, active, indicative, plural
verb.2XAIS	verb, second, perfect, active, indicative, singular
verb.2XASP	verb, second, perfect, active, subjunctive, plural
verb.2XASS	verb, second, perfect, active, subjunctive, singular
verb.2XMDP	verb, second, perfect, middle, imperative, plural
verb.2XMIP	verb, second, perfect, middle, indicative, plural
verb.2XMIS	verb, second, perfect, middle, indicative, singular
verb.2XPDS	verb, second, perfect, passive, imperative, singular
verb.2XPIP	verb, second, perfect, passive, indicative, plural
verb.2XPIS	verb, second, perfect, passive, indicative, singular
verb.2YAIP	verb, second, pluperfect, active, indicative, plural
verb.2YAIS	verb, second, pluperfect, active, indicative, singular
verb.3AADP	verb, third, aorist, active, imperative, plural
verb.3AADS	verb, third, aorist, active, imperative, singular
verb.3AAIP	verb, third, aorist, active, indicative, plural
verb.3AAIS	verb, third, aorist, active, indicative, singular
verb.3AAOP	verb, third, aorist, active, optative, plural
verb.3AAOS	verb, third, aorist, active, optative, singular
verb.3AASP	verb, third, aorist, active, subjunctive, plural
verb.3AASS	verb, third, aorist, active, subjunctive, singular
verb.3AMDP	verb, third, aorist, middle, imperative, plural
verb.3AMDS	verb, third, aorist, middle, imperative, singular
verb.3AMIP	verb, third, aorist, middle, indicative, plural
verb.3AMIS	verb, third, aorist, middle, indicative, singular
verb.3AMOS	verb, third, aorist, middle, optative, singular
verb.3AMSP	verb, third, aorist, middle, subjunctive, plural
verb.3AMSS	verb, third, aorist, middle, subjunctive, singular
verb.3APDP	verb, third, aorist, passive, imperative, plural
verb.3APDS	verb, third, aorist, passive, imperative, singular
verb.3APIP	verb, third, aorist, passive, indicative, plural
verb.3APIS	verb, third, aorist, passive, indicative, singular
verb.3APOS	verb, third, aorist, passive, optative, singular
verb.3APSP	verb, third, aorist, passive, subjunctive, plural
verb.3APSS	verb, third, aorist, passive, subjunctive, singular
verb.3FAIP	verb, third, future, active, indicative, plural
verb.3FAIS	verb, third, future, active, indicative, singular
verb.3FMIP	verb, third, future, middle, indicative, plural
verb.3FMIS	verb, third, future, middle, indicative, singular
verb.3FPIP	verb, third, future, passive, indicative, plural
verb.3FPIS	verb, third, future, passive, indicative, singular
verb.3IAIP	verb, third, imperfect, active, indicative, plural
verb.3IAIS	verb, third, imperfect, active, indicative, singular
verb.3IMIP	verb, third, imperfect, middle, indicative, plural
verb.3IMIS	verb, third, imperfect, middle, indicative, singular
verb.3IPIP	verb, third, imperfect, passive, indicative, plural
verb.3IPIS	verb, third, imperfect, passive, indicative, singular
verb.3PADP	verb, third, present, active, imperative, plural
verb.3PADS	verb, third, present, active, imperative, singular
verb.3PAIP	verb, third, present, active, indicative, plural
verb.3PAIS	verb, third, present, active, indicative, singular
