192882	P
V
ADV
V
O
S
VC
P
V
O
ADV
VC
P
V
IO
V
ADV
V
O
O2
S
ADV
ADV
V
O
V
O
ADV
V
ADV
V
O
S
ADV
ADV
V
O
V
O
S
ADV
ADV
V
O
V
O
V
ADV
ADV
V
ADV
V
O
V
O
ADV
V
S
ADV
V
IO
O
ADV
V
ADV
V
V
V
V
O
V
O
S
ADV
V
O
V
ADV
V
S
V
ADV
S
ADV
V
O
V
O
ADV
V
P
S
P
VC
S
P
S
V
S
V
P
S
S
V
O
P
S
V
O
S
V
P
S
S
V
P
S
S
O
V
P
S
S
P
VC
P
S
V
ADV
P
VC
S
P
VC
V
O
V
V
O
ADV
ADV
V
ADV
V
V
S
P
ADV
ADV
V
O
S
VC
P
S
V
ADV
V
ADV
V
ADV
ADV
ADV
ADV
V
ADV
V
ADV
S
VC
P
ADV
V
S
O
V
ADV
ADV
V
V
O
V
O
ADV
ADV
V
ADV
ADV
V
S
ADV
V
O
V
O
ADV
V
V
ADV
V
O
V
ADV
V
V
V
IO
V
S
S
ADV
V
ADV
S
V
S
S
V
O
V
ADV
O
P
VC
ADV
S
V
V
S
P
VC
ADV
V
IO
ADV
V
S
ADV
ADV
ADV
V
ADV
V
V
IO
ADV
V
S
S
V
P
VC
ADV
S
V
IO
S
V
O
P
VC
ADV
S
S
V
IO
P
VC
ADV
S
S
V
P
VC
ADV
V
O
ADV
ADV
V
S
V
O
ADV
V
ADV
O
ADV
V
ADV
V
ADV
ADV
ADV
V
V
O
V
ADV
ADV
ADV
ADV
VC
P
ADV
O
V
S
IO
S
IO
ADV
V
V
IO
ADV
V
ADV
V
O
V
V
ADV
V
S
V
IO
S
V
O
ADV
V
O
ADV
V
O
ADV
S
V
O
V
O
V
ADV
V
ADV
S
V
S
ADV
S
V
ADV
S
V
O
V
O
V
ADV
V
ADV
S
V
S
ADV
S
ADV
V
V
S
S
V
O
V
IO
O
S
V
IO
S
V
O
ADV
V
O
S
V
S
S
O
V
V
V
ADV
V
V
IO
ADV
V
V
IO
O
S
V
IO
ADV
V
ADV
ADV
VC
P
ADV
VC
P
ADV
VC
P
ADV
V
ADV
V
O
O
V
O2
VC
S
P
S
P
S
P
S
P
VC
V
V
O
ADV
O
ADV
S
V
IO
O
ADV
V
O
S
O
V
ADV
V
IO
O
IO
V
O
ADV
V
O
V
V
IO
O
S
O
V
ADV
V
ADV
ADV
IO
V
O
V
O
V
O
ADV
V
ADV
V
V
V
V
O
V
O
S
V
IO
V
O
V
ADV
V
O
VC
P
O
V
ADV
V
ADV
V
O
V
O
O
V
S
O
V
V
O
ADV
O
V
S
O
V
VC
S
P
S
P
VC
V
O
O
ADV
V
ADV
ADV
V
ADV
ADV
ADV
O
ADV
V
ADV
V
O
ADV
V
ADV
S
V
ADV
V
ADV
V
IO
V
O
S
V
O
ADV
V
S
O
V
S
VC
S
P
S
V
ADV
V
IO
V
ADV
VC
P
V
O
ADV
ADV
V
V
V
ADV
V
IO
V
O
S
V
V
ADV
ADV
V
O
V
IO
S
V
ADV
V
IO
ADV
V
ADV
V
S
V
ADV
V
ADV
V
ADV
V
S
O
O
V
ADV
S
V
O
ADV
V
S
V
S
V
S
V
S
ADV
ADV
O
V
IO
ADV
V
IO
O
S
V
IO
V
O
ADV
V
O
ADV
V
IO
O
V
IO
S
ADV
V
IO
ADV
S
V
O
V
ADV
VC
ADV
S
P
V
O
V
IO
O
V
V
IO
V
O
S
ADV
V
V
O
O
V
V
IO
O
V
IO
S
V
ADV
V
IO
ADV
V
IO
O
ADV
ADV
S
V
ADV
S
V
V
IO
O
ADV
ADV
S
V
ADV
S
ADV
V
P
VC
S
P
VC
S
S
VC
P
VC
S
P
S
P
VC
S
P
VC
S
P
VC
S
P
VC
S
P
S
V
O
O
V
O
V
O
V
O
V
O
V
ADV
V
O
O
V
O
ADV
V
IO
ADV
V
ADV
O
O
V
ADV
O
O
V
S
P
VC
ADV
S
ADV
V
ADV
ADV
V
V
V
ADV
S
V
O
S
ADV
V
ADV
S
ADV
V
V
O
V
ADV
O
ADV
ADV
V
V
O
ADV
V
ADV
V
V
V
IO
ADV
S
ADV
V
S
O
ADV
ADV
V
ADV
ADV
V
S
ADV
V
ADV
O
ADV
V
ADV
V
O
V
O
V
O
V
O
S
V
V
S
V
O
V
ADV
O
S
V
IO
ADV
V
ADV
S
V
O
P
ADV
S
ADV
V
V
ADV
ADV
V
V
S
ADV
V
V
IO
ADV
V
O
O
ADV
V
ADV
V
IO
V
V
O
ADV
S
P
V
ADV
ADV
O
ADV
V
ADV
V
O
ADV
ADV
V
O
IO
V
O
ADV
V
O
ADV
ADV
V
V
O
V
V
IO
V
V
V
V
IO
S
V
V
S
V
V
IO
V
V
VC
P
S
O
V
S
O2
O
V
IO
O
V
O
V
IO
S
ADV
P
VC
V
O
O
V
IO
ADV
S
V
O
IO
V
O
ADV
V
V
IO
S
ADV
S
V
IO
S
VC
P
V
ADV
P
S
P
S
V
ADV
P
VC
S
V
ADV
P
S
P
S
V
ADV
P
VC
S
V
O
V
ADV
S
V
ADV
ADV
ADV
VC
P
ADV
V
O
V
ADV
O
ADV
O
ADV
S
O
V
S
O
V
ADV
V
S
O
O
V
S
O
O
V
S
ADV
V
O
V
ADV
V
ADV
V
O
S
V
IO
V
ADV
S
V
O
S
V
IO
ADV
ADV
V
ADV
O
V
ADV
O
V
ADV
V
IO
ADV
V
O
V
ADV
V
O
S
S
V
O
V
O
V
ADV
S
V
O
ADV
V
S
V
S
V
S
V
O
ADV
V
V
ADV
S
V
O
ADV
V
O
V
ADV
S
V
O
ADV
V
S
V
S
V
S
V
O
V
VC
S
P
V
V
S
O
V
S
ADV
V
O
ADV
O
V
S
V
S
ADV
V
O
S
S
ADV
V
V
O
ADV
V
V
V
O
O
V
ADV
V
O
V
O
ADV
V
V
V
ADV
V
S
V
IO
S
V
IO
V
V
O
V
IO
V
O
O
V
S
ADV
V
S
ADV
V
ADV
S
ADV
V
O
V
S
V
ADV
ADV
ADV
ADV
V
V
IO
S
ADV
V
V
O
ADV
V
S
V
ADV
VC
P
ADV
V
ADV
V
ADV
V
S
S
VC
P
V
ADV
O
V
IO
V
V
IO
V
V
IO
V
O
V
ADV
V
S
V
V
IO
V
V
IO
ADV
O
ADV
V
V
IO
S
ADV
V
V
ADV
ADV
S
V
ADV
P
VC
S
V
S
IO
V
V
V
ADV
V
S
ADV
S
ADV
V
ADV
V
O
S
V
V
O
V
O
S
V
V
O
S
V
V
IO
O
V
V
O
ADV
O
ADV
V
V
V
S
V
ADV
ADV
V
S
O
V
O
V
S
ADV
V
O
ADV
V
O
V
ADV
ADV
V
S
V
IO
V
O
ADV
ADV
V
V
IO
S
S
O
V
S
O
S
ADV
V
O
ADV
O
V
S
V
IO
V
IO
O
ADV
V
V
O
S
V
IO
V
O
V
O
S
V
O
V
S
ADV
V
O
S
S
V
ADV
ADV
S
V
ADV
S
V
ADV
V
V
O
ADV
V
V
V
V
IO
ADV
P
VC
ADV
ADV
V
V
O
V
S
S
V
ADV
V
P
VC
S
S
O
V
V
S
ADV
ADV
V
O
S
V
ADV
V
ADV
V
S
O
V
ADV
V
ADV
V
S
P
V
ADV
ADV
ADV
V
O
VC
P
ADV
S
V
S
V
O
ADV
V
V
O
V
O
ADV
V
IO
V
S
ADV
V
V
ADV
V
S
ADV
ADV
V
ADV
S
V
V
ADV
V
ADV
V
O
V
S
V
ADV
ADV
V
O
V
V
ADV
ADV
V
ADV
V
V
ADV
V
IO
O
ADV
V
S
ADV
V
O
V
IO
V
V
S
S
V
ADV
S
V
S
ADV
V
O
V
ADV
V
O
ADV
S
VC
P
V
V
S
V
V
V
V
O
V
S
ADV
ADV
V
O
ADV
V
IO
ADV
V
V
O
V
ADV
ADV
V
V
ADV
ADV
V
S
V
V
O
V
O
IO
ADV
V
ADV
S
V
O
V
ADV
P
VC
V
IO
V
O
ADV
V
V
O
V
S
V
ADV
S
ADV
V
V
ADV
ADV
V
S
V
IO
ADV
ADV
V
S
S
ADV
V
V
O
V
S
V
S
ADV
V
ADV
V
V
P
VC
S
O
V
ADV
O
V
ADV
V
O
O
ADV
V
ADV
S
ADV
V
ADV
S
V
ADV
S
ADV
V
V
IO
S
V
S
O
V
ADV
ADV
P
VC
S
V
S
V
ADV
S
ADV
V
S
V
O
ADV
V
S
ADV
S
V
V
O
ADV
ADV
ADV
V
S
S
V
S
V
V
O
ADV
S
V
O
S
V
IO
S
ADV
V
V
O
ADV
V
S
ADV
V
ADV
V
V
O
ADV
V
ADV
V
S
V
O
S
S
V
ADV
ADV
V
ADV
V
O
V
ADV
ADV
V
O
V
S
ADV
V
V
O
V
V
S
V
O
V
S
ADV
S
ADV
V
ADV
V
O
S
S
V
V
V
V
S
V
V
O
V
S
ADV
V
V
O
V
S
V
S
ADV
V
ADV
S
V
O
S
ADV
V
V
V
O
V
ADV
V
ADV
S
V
IO
S
V
V
O
O
V
V
IO
ADV
V
O
ADV
V
ADV
V
IO
V
S
V
IO
S
ADV
V
V
S
V
S
ADV
V
V
O
ADV
S
V
V
IO
O
V
V
S
V
S
V
S
ADV
V
ADV
V
ADV
ADV
S
V
ADV
V
O
V
S
O
ADV
V
ADV
V
O
V
O
ADV
V
O
V
ADV
V
S
ADV
V
O
ADV
V
IO
S
P
S
P
V
O
V
O
ADV
ADV
V
O
V
IO
O
ADV
V
O
V
O
S
VC
P
P
S
VC
P
S
ADV
V
O
O
V
S
ADV
V
O
ADV
V
ADV
ADV
V
ADV
ADV
V
V
ADV
ADV
V
ADV
V
V
ADV
V
V
S
O
V
V
O
V
O
V
O
V
ADV
V
ADV
V
ADV
V
O
ADV
ADV
O
P
S
ADV
ADV
V
V
S
ADV
P
VC
ADV
V
V
ADV
V
ADV
V
O
VC
S
P
V
S
ADV
ADV
VC
P
S
ADV
V
S
ADV
V
O
V
O
ADV
V
ADV
V
O
V
IO
P
VC
ADV
ADV
ADV
S
V
O
O
ADV
VC
P
S
P
S
V
ADV
V
O
ADV
ADV
V
O
ADV
V
ADV
ADV
V
O
ADV
V
ADV
O
V
V
IO
ADV
S
O
V
S
VC
P
V
S
P
V
ADV
V
S
O
ADV
S
O
V
S
ADV
V
O
V
ADV
ADV
V
ADV
S
V
V
O
ADV
V
ADV
V
IO
ADV
V
O
V
S
ADV
VC
S
P
S
P
P
ADV
S
VC
P
S
P
O
O2
V
ADV
O
ADV
V
O
P
VC
S
V
S
ADV
V
S
ADV
V
O
O
V
IO
ADV
V
ADV
O
O
ADV
V
V
ADV
ADV
V
ADV
V
O
ADV
V
O
O
V
V
ADV
O
V
O
O
V
ADV
S
ADV
V
S
ADV
V
ADV
ADV
S
V
ADV
V
ADV
V
S
S
V
ADV
ADV
V
S
ADV
ADV
S
V
O
ADV
V
S
O
ADV
ADV
V
V
ADV
V
O
ADV
V
ADV
V
O
O
V
ADV
V
O
ADV
O
ADV
O
ADV
S
P
S
V
O
ADV
ADV
VC
ADV
P
S
V
O
ADV
ADV
VC
ADV
P
S
S
ADV
V
O
V
ADV
ADV
VC
ADV
P
S
V
O
V
O
S
V
O
ADV
V
O
S
V
O
O
V
S
O
V
V
O
V
O
S
V
O
ADV
O
V
S
V
O
ADV
O
V
S
V
O
O2
ADV
ADV
V
IO
ADV
V
O
V
V
S
O
V
IO
V
ADV
ADV
V
ADV
S
ADV
V
ADV
O
ADV
V
ADV
V
IO
S
VC
P
V
O
V
ADV
V
S
V
IO
ADV
V
V
IO
O
O
V
S
V
S
V
S
V
S
V
S
V
S
V
P
VC
S
S
ADV
V
ADV
S
V
V
S
O
V
IO
ADV
ADV
O
V
V
ADV
O
ADV
V
ADV
O
V
V
O
ADV
V
S
O
V
P
VC
ADV
V
O
V
V
IO
O
S
VC
P
ADV
V
S
V
O
ADV
S
V
O
ADV
V
IO
ADV
V
ADV
S
S
P
ADV
VC
ADV
S
V
S
V
O
S
ADV
V
V
O
V
S
VC
P
V
O
V
S
V
O
V
ADV
V
O
P
VC
ADV
V
ADV
S
ADV
V
O
V
V
IO
ADV
V
V
ADV
V
V
S
ADV
V
V
O
V
V
S
ADV
V
V
V
P
V
S
ADV
ADV
V
O
V
O
ADV
V
S
ADV
V
S
IO
S
IO
ADV
V
S
V
ADV
ADV
ADV
V
V
IO
ADV
P
VC
ADV
ADV
S
ADV
V
ADV
V
ADV
V
S
V
ADV
V
ADV
V
IO
ADV
P
VC
ADV
ADV
ADV
ADV
V
S
V
V
O
V
O
ADV
V
O
IO
ADV
S
VC
P
S
IO
V
ADV
S
V
O
ADV
S
O
S
V
ADV
S
O
IO
V
V
S
V
ADV
V
V
S
V
O
V
O
ADV
V
ADV
VC
P
ADV
V
O
IO
S
P
S
P
VC
ADV
V
S
ADV
ADV
S
V
V
O
V
O
V
S
ADV
V
V
IO
S
V
O
S
O
V
ADV
V
ADV
S
V
IO
V
O
V
S
V
S
V
ADV
O
V
S
O
V
ADV
V
ADV
ADV
ADV
ADV
ADV
V
ADV
ADV
S
ADV
O
V
P
VC
V
IO
S
VC
P
V
O
P
VC
S
O
V
ADV
O
ADV
V
O
VC
P
S
ADV
V
ADV
V
ADV
S
O
V
O2
V
O
ADV
V
V
S
ADV
V
V
O
S
V
IO
S
VC
ADV
P
S
V
O
V
S
ADV
ADV
V
O
V
ADV
V
S
ADV
V
S
ADV
ADV
V
ADV
V
IO
V
O
V
V
ADV
S
ADV
V
S
O
V
ADV
O
V
S
ADV
V
V
ADV
V
O
S
V
O
V
IO
ADV
O2
O
V
V
S
V
ADV
ADV
V
S
O
V
ADV
V
S
V
O
ADV
O
IO
V
ADV
V
V
V
S
ADV
O
O
V
ADV
V
O
V
ADV
V
V
ADV
O
O
S
V
ADV
V
IO
S
V
V
O
ADV
S
V
V
S
V
S
VC
P
S
ADV
V
V
S
ADV
V
O
ADV
ADV
ADV
V
O
V
IO
S
V
ADV
V
S
V
ADV
ADV
V
S
O
V
ADV
V
ADV
V
S
S
ADV
V
O
S
ADV
V
ADV
S
P
VC
ADV
S
V
O
V
ADV
S
ADV
V
S
O
V
ADV
O
V
ADV
ADV
V
O
ADV
O
V
S
ADV
VC
P
P
VC
S
ADV
V
ADV
V
ADV
V
IO
S
V
IO
S
ADV
V
S
V
O
ADV
V
IO
S
V
ADV
ADV
V
IO
ADV
V
V
O
O2
O
O2
V
O
O2
O
O2
ADV
S
V
ADV
V
O
O
V
ADV
P
VC
ADV
S
V
S
ADV
V
O
S
ADV
V
O
V
IO
O
V
S
V
ADV
O
ADV
ADV
V
ADV
V
ADV
V
IO
S
ADV
V
V
O
ADV
O
V
S
ADV
V
V
IO
S
O
V
S
ADV
V
IO
ADV
S
VC
S
P
ADV
ADV
VC
S
P
ADV
S
V
ADV
ADV
V
O
V
ADV
S
P
S
V
ADV
ADV
V
O
V
ADV
ADV
V
O
S
P
S
V
ADV
V
ADV
ADV
V
O
ADV
V
ADV
V
ADV
V
ADV
V
ADV
V
V
O
V
V
V
ADV
V
V
ADV
O
ADV
V
V
ADV
VC
S
P
ADV
P
VC
ADV
ADV
S
V
IO
S
V
ADV
ADV
V
O
IO
V
V
S
IO
S
ADV
V
ADV
V
O
IO
V
S
ADV
V
V
IO
V
IO
S
VC
P
S
VC
P
ADV
V
O
ADV
V
P
S
V
O
S
P
VC
ADV
S
ADV
V
ADV
V
ADV
V
ADV
S
ADV
S
ADV
ADV
V
V
S
ADV
V
V
IO
O
ADV
ADV
V
V
S
V
ADV
V
ADV
V
S
S
V
ADV
ADV
V
S
V
O
S
V
ADV
ADV
ADV
V
O
ADV
V
ADV
ADV
V
O
S
V
V
ADV
ADV
V
O
V
S
V
ADV
V
S
V
O
S
V
ADV
V
O
S
O
S
O
S
O
S
V
O
V
ADV
V
S
V
IO
ADV
ADV
V
IO
S
ADV
V
V
IO
IO
V
S
V
O
IO
ADV
V
S
V
V
IO
V
S
ADV
V
S
O
V
V
ADV
ADV
ADV
IO
V
ADV
V
ADV
V
ADV
V
ADV
V
V
IO
S
V
ADV
V
ADV
V
ADV
V
V
ADV
V
V
S
ADV
ADV
V
O
V
V
ADV
ADV
V
ADV
V
V
V
O
P
S
V
S
V
V
IO
S
V
O
V
O
O
V
ADV
V
V
O
O
V
ADV
V
S
V
O
V
S
V
O
ADV
V
V
S
V
O
V
ADV
S
VC
P
ADV
V
ADV
V
S
VC
P
O
V
ADV
ADV
V
O
ADV
V
O
ADV
P
VC
V
S
ADV
ADV
V
ADV
V
S
VC
P
O
V
S
V
O
P
VC
ADV
V
S
VC
P
O
V
V
S
V
V
S
O
S
O
S
O
O
V
IO
ADV
V
V
S
ADV
V
O
ADV
ADV
V
S
V
S
V
O
ADV
V
V
S
O
V
ADV
V
S
ADV
V
S
V
IO
O
V
ADV
ADV
V
O
S
V
IO
S
O
V
S
IO
V
V
ADV
V
V
O
S
V
ADV
ADV
V
O
V
ADV
O
V
O
V
S
ADV
ADV
V
IO
V
ADV
O
V
O
ADV
ADV
V
O
O
V
ADV
O
V
IO
ADV
V
P
VC
S
ADV
ADV
O
V
S
V
ADV
S
P
VC
ADV
V
P
ADV
VC
VC
P
V
S
V
ADV
O
V
IO
P
VC
S
ADV
ADV
O
V
S
V
ADV
ADV
ADV
V
S
O
V
S
ADV
IO
ADV
O
V
IO
V
S
V
ADV
ADV
V
V
ADV
O
V
O
V
ADV
ADV
ADV
V
O
V
ADV
V
ADV
S
ADV
V
V
IO
O
S
ADV
V
V
S
V
O
VC
P
S
VC
P
S
VC
P
S
VC
P
S
V
O
VC
P
S
P
VC
S
P
VC
V
S
ADV
V
P
VC
ADV
V
S
O
V
ADV
O
V
O
V
O
ADV
P
VC
S
ADV
S
V
ADV
S
S
V
O
V
P
VC
S
ADV
V
ADV
ADV
O
V
S
V
ADV
V
V
O
O
V
V
O
ADV
P
VC
S
ADV
V
O
ADV
V
O
ADV
V
V
O
O
V
V
O
ADV
P
VC
S
ADV
V
ADV
ADV
V
ADV
O
ADV
V
V
ADV
V
V
O
ADV
O
ADV
V
P
VC
ADV
V
S
V
O
ADV
V
O
ADV
P
VC
S
V
O
V
IO
S
V
IO
ADV
S
V
ADV
P
VC
ADV
S
V
ADV
O
V
V
S
O
V
ADV
ADV
V
ADV
V
O
ADV
ADV
V
S
V
ADV
IO
S
S
VC
P
S
VC
P
S
P
S
P
VC
ADV
IO
S
V
ADV
S
V
IO
ADV
VC
S
P
ADV
ADV
ADV
V
ADV
O
ADV
ADV
V
S
O
V
IO
S
VC
P
S
V
ADV
ADV
S
V
ADV
S
ADV
V
O
V
O
ADV
V
ADV
V
IO
S
ADV
V
ADV
S
V
O
ADV
V
O
O
V
V
O
ADV
O
V
S
V
V
S
ADV
V
O
ADV
V
O
IO
V
O
O
V
S
ADV
V
ADV
V
V
IO
ADV
ADV
O
ADV
V
S
ADV
V
V
O
V
ADV
V
V
O
ADV
V
S
ADV
V
IO
V
IO
ADV
V
S
V
O
V
O
ADV
V
V
IO
ADV
V
S
V
ADV
ADV
ADV
ADV
ADV
V
S
V
O
ADV
ADV
ADV
V
V
O
V
ADV
V
O
S
V
V
ADV
S
ADV
V
P
VC
S
S
ADV
V
V
O
ADV
V
ADV
V
IO
O
S
V
IO
ADV
O
V
ADV
V
V
IO
S
O
V
S
V
IO
ADV
V
ADV
ADV
O
S
V
V
IO
ADV
O
ADV
V
O
S
V
ADV
ADV
V
O
ADV
V
ADV
V
ADV
V
V
IO
O
S
IO
V
S
V
V
O
V
S
V
VC
P
ADV
ADV
V
O
S
V
ADV
V
O
ADV
ADV
ADV
V
O
ADV
V
O
V
ADV
ADV
ADV
V
S
V
P
VC
ADV
S
ADV
ADV
ADV
V
ADV
V
ADV
VC
P
S
ADV
V
ADV
ADV
V
ADV
S
ADV
V
O
S
ADV
V
V
ADV
V
P
VC
ADV
V
ADV
V
IO
S
ADV
V
V
S
VC
ADV
V
ADV
V
IO
S
V
S
VC
V
O
S
V
ADV
ADV
S
V
V
ADV
V
ADV
S
V
ADV
V
ADV
ADV
V
O
O2
V
ADV
V
O
V
V
ADV
V
V
O
ADV
S
ADV
V
O
V
O
V
IO
ADV
V
V
S
ADV
V
S
S
V
O
ADV
V
ADV
P
VC
ADV
V
V
ADV
ADV
ADV
V
O
S
V
ADV
V
IO
O
ADV
V
V
O
ADV
V
O
S
S
V
V
ADV
V
ADV
ADV
S
ADV
V
ADV
S
V
O
ADV
V
O
O
V
S
ADV
V
V
IO
ADV
S
V
O
ADV
S
V
V
O
S
V
O
ADV
V
S
V
S
S
V
IO
P
S
O
ADV
V
ADV
V
O
V
O
ADV
ADV
V
ADV
S
ADV
V
S
ADV
O
V
S
ADV
V
ADV
ADV
V
O
ADV
V
O2
O
ADV
V
O
V
IO
V
V
S
V
ADV
V
O
V
ADV
S
V
O
ADV
ADV
V
S
V
IO
V
S
ADV
V
O
V
S
ADV
V
V
S
O
ADV
V
S
V
V
O
VC
P
S
O
V
S
ADV
V
ADV
V
S
V
IO
V
IO
O
S
V
ADV
S
P
VC
V
S
V
ADV
ADV
V
ADV
V
S
V
ADV
ADV
V
S
V
O
ADV
V
S
S
VC
P
V
O
S
ADV
V
ADV
V
O
ADV
V
ADV
S
V
ADV
S
ADV
ADV
V
V
ADV
V
V
O
S
ADV
V
S
ADV
V
IO
O
ADV
V
S
V
O
ADV
V
V
O
V
ADV
S
ADV
V
V
ADV
V
ADV
ADV
V
S
ADV
V
V
O
ADV
V
V
O
S
ADV
V
V
ADV
VC
P
S
V
O
V
IO
S
V
S
V
ADV
V
ADV
ADV
ADV
V
S
V
IO
P
S
V
IO
V
V
S
ADV
ADV
V
ADV
S
V
ADV
ADV
V
ADV
V
ADV
V
ADV
S
ADV
V
ADV
O
V
O
ADV
V
O
ADV
S
V
ADV
V
O
S
V
S
P
S
V
S
V
V
O
S
ADV
V
O
V
V
ADV
ADV
ADV
V
ADV
ADV
V
O
O
V
O
V
O
ADV
V
V
ADV
V
IO
S
ADV
IO
ADV
S
ADV
V
O
V
IO
S
O
V
S
V
O
ADV
V
IO
O
V
ADV
V
O
ADV
V
V
V
IO
S
IO
V
S
V
O
V
V
S
V
VC
P
ADV
ADV
V
O
V
ADV
V
ADV
ADV
V
S
ADV
V
V
O
S
O
V
IO
S
ADV
V
V
IO
S
V
V
P
V
S
ADV
ADV
P
V
ADV
V
S
O
O
V
V
O
ADV
V
S
O
V
S
ADV
V
IO
ADV
S
ADV
V
O
V
S
ADV
V
ADV
V
O
O
V
S
V
IO
V
ADV
S
V
ADV
ADV
V
O
ADV
V
ADV
V
S
V
ADV
V
ADV
O
ADV
V
ADV
V
V
O
O
V
O
O
V
ADV
ADV
V
ADV
ADV
V
IO
V
ADV
ADV
V
V
O
V
ADV
ADV
S
ADV
V
ADV
V
O
ADV
V
V
S
O
P
VC
S
S
V
S
O
S
O
S
O
V
IO
S
O
P
S
VC
V
ADV
V
S
V
S
VC
P
V
ADV
V
S
V
IO
P
VC
S
ADV
V
IO
S
S
IO
V
S
VC
P
ADV
V
O
S
ADV
V
O
V
IO
O
S
O
V
ADV
V
ADV
S
O
V
ADV
V
ADV
ADV
V
IO
IO
V
S
VC
P
ADV
V
S
O
V
IO
V
S
S
ADV
V
O
V
ADV
V
ADV
V
ADV
V
O
S
V
O
V
O
ADV
V
P
ADV
ADV
VC
P
S
S
ADV
V
V
IO
V
ADV
P
VC
V
O
O
ADV
S
V
IO
S
V
O
ADV
V
V
O
V
O
V
O
S
S
V
O
O
V
V
O
S
S
V
O
ADV
V
O
O
V
S
O
V
O
V
O
V
S
O2
V
S
O
V
